No.,ship code,Month,Jyun,START,END,Latitude,Longitude,Dec Lat,Dec Long,Dec Long Corerct,E=1.W=2,SST oC,Jig Mach No,1case kg,5,8,13,18,23,28,33,38,45,55,65,75,85,95,105,Ashi,Fin,Nankotsu,Kizu,IQF,Tomogui,Mantle Case No,Total case No,Weight kg,Sqiid No,mean BW g,Op hrs,CPUE(squidN/hr/JNo),Raw C kg,CPUE(kg/hr/JNo),CPUE(squidN/JNo),CPUE(kg/JNo),note,,,Fishing year     冬春生まれ群,year,CPUE (Catch No/hr/Jig No),SD,n,,Raw Ckg=Catch kg/ boat,SD,n,,CPUE (catch kg/hr/Jig No),SD,n,,CPUE (catch No/Jig No),SD,n,,CPUE (Catch kg/Jig No),SD,n
67源栄丸,,,,2006/1/11 18:00,2006/1/12 5:00,38°19′N,142°11′E,38.32,142.18,142.18,1,12.6,20,12,,1,32,23,13,2,1,,,,,,,,,30,15,12,,,,72,129,1548,1226,1263,11,5.57,1749.2,7.95,61.3,87.5,,,,,,,,,,,,,,,,,,,,,,,,
30正寿丸,,,,2006/1/11 18:30,2006/1/12 6:30,37°27′N,142°05′E,37.45,142.08,142.08,1,12.7,25,12.6,,,58,68,27,12,,,,,,,,,,,80,36,,24,,165,305,3843,2935,1309,12,9.78,4342.4,14.47,117.4,173.7,,,,,,,,,,,,,,,,,,,,,,,,
2吉丸,,,,2006/1/11 20:00,2006/1/12 6:00,37°16′N,142°01′E,37.27,142.02,142.02,1,12,24,12.5,,,14,45,19,10,,5,,,,,,,,45,23,21,,,,93,182,2275,1899,1198,10,7.91,2570.6,10.71,79.1,107.1,,,,,,,,,,,,,,,,,,,,,,,,
55喜代丸,,,,2006/1/12 16:30,2006/1/13 6:30,36°57′N,141°45′E,36.95,141.75,141.75,1,12.3,25,12,,3,39,44,26,14,2,,,,,,,,,56,28,18,,,,128,230,2760,2379,1160,14,6.8,3118.6,8.91,95.2,124.7,,,,,,,,,,,,,,,,,,,,,,,,
35喜久丸,,,,2006/1/12 16:30,2006/1/13 6:30,37°03′N,141°58′E,37.05,141.97,141.97,1,12.1,25,12.2,,,24,36,9,2,,,,,,,,,,34,14,9,,,,71,128,1562,1223,1277,14,3.49,1764.5,5.23,48.9,70.6,,,,,,,,,,,,,,,,,,,,,,,,
2吉丸,,,,2006/1/12 16:30,2006/1/13 6:30,37°05′N,142°01′E,37.08,142.02,142.02,1,12.4,24,12.5,,,17,45,13,3,,4,,,,,,,,39,20,18,,,,82,159,1988,1566,1269,14,4.66,2245.8,6.93,65.3,93.6,,,,,,,,,,,,,,,,,,,,,,,,
11源栄丸,,,,2006/1/12 17:00,2006/1/13 5:00,37°00′N,141°40′E,37,141.67,141.67,1,12.6,21,11.5,,,24,44,32,7,3,,,,,,,,,55,26,16,,,,110,207,2381,2135,1115,12,8.48,2689.8,10.67,101.7,128.1,,,,,,,,,,,,,,,,,,,,,,,,
10宝幸丸,,,,2006/1/12 17:00,2006/1/13 6:00,36°53′N,141°44′E,36.88,141.73,141.73,1,12.5,24,12,,,22,71,31,38,2,,,,,,,,,,82,43,,,,164,289,3468,3407,1018,13,10.92,3918.6,12.56,142,163.3,,,,,,,,,,,,,,,,,,,,,,,,
65源栄丸,,,,2006/1/12 17:00,2006/1/13 5:00,37°06′N,141°50′E,37.1,141.83,141.83,1,12.5,24,11.8,,,32,54,25,3,,,,,,,,,,52,20,20,,,,114,206,2431,2047,1187,12,7.11,2746.7,9.54,85.3,114.4,,,,,,,,,,,,,,,,,,,,,,,,
71源栄丸,,,,2006/1/12 17:00,2006/1/13 5:00,36°56′N,142°02′E,36.93,142.03,142.03,1,11.9,24,12,,,24,19,8,2,,,,,,,,,,26,12,9,,,,53,100,1200,894,1342,12,3.11,1355.9,4.71,37.3,56.5,,,,,,,,,,,,,,,,,,,,,,,,
67源栄丸,,,,2006/1/12 17:30,2006/1/13 5:30,38°25′N,142°05′E,38.42,142.08,142.08,1,12.5,20,12,,3,68,54,24,9,1,,,,,,,,,72,36,28,,,,159,295,3540,2717,1303,12,11.33,4000,16,135.9,200,,,,,,,,,,,,,,,,,,,,,,,,
15千鳥丸,,,,2006/1/12 17:30,2006/1/13 6:30,38°16′N,142°18′E,38.27,142.3,142.3,1,12.4,25,11.5,,,95,194,35,17,,,,,,,,,,152,85,34,,,,341,612,7038,6008,1171,13,18.48,7952.5,24.79,240.3,318.1,,,,,,,,,,,,,,,,,,,,,,,,
30正寿丸,,,,2006/1/12 18:30,2006/1/13 6:30,37°35′N,142°12′E,37.58,142.2,142.2,1,12.4,25,12.6,,,38,29,19,7,,,,,,,,,,,40,16,,11,,93,160,2016,1649,1223,12,5.5,2278,7.59,66,91.1,,,,,,,,,,,,,,,,,,,,,,,,
35喜久丸,,,,2006/1/13 16:30,2006/1/14 6:30,37°23′N,141°47′E,37.38,141.78,141.78,1,12.1,25,12.2,,,54,33,3,,,,,,,,,,,43,20,14,,,,90,167,2037,1365,1493,14,3.9,2302.1,6.82,54.6,92.1,,,,,,,,,,,,,,,,,,,,,,,,
55喜代丸,,,,2006/1/13 16:30,2006/1/14 6:30,37°00′N,141°58′E,37,141.97,141.97,1,12.4,25,12,,1,19,13,3,1,,,,,,,,,,18,8,6,,,,37,69,828,586,1413,14,1.67,935.6,2.67,23.4,37.4,,,,,,,,,,,,,,,,,,,,,,,,
65源栄丸,,,,2006/1/13 17:00,2006/1/14 5:00,36°58′N,141°41′E,36.97,141.68,141.68,1,12.5,24,11.8,,,36,55,32,10,,,,,,,,,,58,27,21,,,,133,239,2820,2474,1140,12,8.59,3186.7,11.06,103.1,132.8,,,,,,,,,,,,,,,,,,,,,,,,
11源栄丸,,,,2006/1/13 17:00,2006/1/14 5:00,36°54′N,141°48′E,36.9,141.8,141.8,1,12.2,21,11.5,,3,67,39,5,8,,,,,,,,,,56,22,15,,,,122,215,2473,1936,1277,12,7.68,2793.8,11.09,92.2,133,,,,,,,,,,,,,,,,,,,,,,,,
71源栄丸,,,,2006/1/13 17:00,2006/1/14 5:00,37°15′N,141°52′E,37.25,141.87,141.87,1,12,24,12,,,132,137,47,7,,,,,,,,,,136,80,5,,,,323,544,6528,5459,1196,12,18.96,7376.3,25.61,227.5,307.3,,,,,,,,,,,,,,,,,,,,,,,,
10宝幸丸,,,,2006/1/13 17:00,2006/1/14 6:00,37°28′N,141°53′E,37.47,141.88,141.88,1,12.5,24,12,,,71,130,20,12,3,,,,,,,,,,127,33,,,,236,396,4752,4158,1143,13,13.33,5369.5,17.21,173.3,223.7,,,,,,,,,,,,,,,,,,,,,,,,
67源栄丸,,,,2006/1/13 17:30,2006/1/14 5:30,38°27′N,142°01′E,38.45,142.02,142.02,1,12.3,20,12,,1,97,57,14,5,,,,,,,,,,75,35,29,,,,174,313,3756,2757,1362,12,11.49,4244.1,16.98,137.9,212.2,,,,,,,,,,,,,,,,,,,,,,,,
15千鳥丸,,,,2006/1/13 17:40,2006/1/14 6:40,38°16′N,142°19′E,38.27,142.32,142.32,1,12.2,25,11.5,,,84,99,13,30,,,,,,,,,,96,45,25,,,,226,392,4508,4013,1123,13,12.35,5093.8,16.09,160.5,203.8,,,,,,,,,,,,,,,,,,,,,,,,
30正寿丸,,,,2006/1/13 20:00,2006/1/14 7:00,37°37′N,142°07′E,37.62,142.12,142.12,1,12.2,25,12.6,,,77,59,12,9,,,,,,,,,,,75,38,,11,,157,281,3541,2591,1366,11,9.42,4000.7,15.24,103.6,160,,,,,,,,,,,,,,,,,,,,,,,,
2吉丸,,,,2006/1/13 21:00,2006/1/14 6:00,36°56′N,141°56′E,36.93,141.93,141.93,1,12.2,24,12.5,,,16,46,16,3,,4,,,,,,,,37,19,18,,,,85,159,1988,1640,1212,9,7.59,2245.8,9.85,68.3,93.6,,,,,,,,,,,,,,,,,,,,,,,,
35喜久丸,,,,2006/1/14 16:30,2006/1/15 6:30,37°06′N,141°54′E,37.1,141.9,141.9,1,12.5,25,12.2,,,39,30,9,1,,,,,,,,,,38,18,12,,,,79,147,1793,1282,1399,14,3.66,2026.4,6,51.3,81.1,,,,,,,,,,,,,,,,,,,,,,,,
55喜代丸,,,,2006/1/14 16:30,2006/1/15 6:30,37°25′N,141°55′E,37.42,141.92,141.92,1,12.2,25,12,,15,253,58,41,5,2,,,,,,,,,163,87,32,,,,374,656,7872,5602,1405,14,16.01,8894.9,25.41,224.1,355.8,,,,,,,,,,,,,,,,,,,,,,,,
65源栄丸,,,,2006/1/14 17:00,2006/1/15 5:00,37°07′N,141°42′E,37.12,141.7,141.7,1,12.6,24,11.8,,,70,93,25,8,,,,,,,,,,95,37,35,,,,196,363,4283,3383,1266,12,11.75,4840,16.81,141,201.7,,,,,,,,,,,,,,,,,,,,,,,,
10宝幸丸,,,,2006/1/14 17:00,2006/1/15 6:00,37°27′N,141°47′E,37.45,141.78,141.78,1,12.5,24,12,,,47,73,3,3,1,,,,,,,,,,65,34,,,,127,226,2712,2111,1285,13,6.77,3064.4,9.82,88,127.7,,,,,,,,,,,,,,,,,,,,,,,,
11源栄丸,,,,2006/1/14 17:00,2006/1/15 5:00,37°12′N,141°49′E,37.2,141.82,141.82,1,12.2,21,11.5,,2,102,93,9,2,3,,,,,,,,,96,42,29,,,,211,378,4347,3378,1287,12,13.41,4911.9,19.49,160.9,233.9,,,,,,,,,,,,,,,,,,,,,,,,
2吉丸,,,,2006/1/14 17:00,2006/1/15 6:00,37°09′N,141°49′E,37.15,141.82,141.82,1,12.1,24,12.5,,,26,119,42,12,,7,,,,,,,,93,48,44,,,,206,391,4888,4048,1207,13,12.98,5522.6,17.7,168.7,230.1,,,,,,,,,,,,,,,,,,,,,,,,
71源栄丸,,,,2006/1/14 17:00,2006/1/15 5:00,36°57′N,141°56′E,36.95,141.93,141.93,1,12.8,24,12,,,57,33,6,,,,,,,,,,,43,22,10,,,,96,171,2052,1473,1393,12,5.12,2318.6,8.05,61.4,96.6,,,,,,,,,,,,,,,,,,,,,,,,
15千鳥丸,,,,2006/1/14 17:40,2006/1/14 23:40,38°16′N,142°10′E,38.27,142.17,142.17,1,12,25,11.5,,,30,51,3,8,,,,,,,,,,40,28,10,,,,92,170,1955,1601,1221,6,10.67,2209,13.95,64,88.4,,,,,,,,,,,,,,,,,,,,,,,,
35喜久丸,,,,2006/1/15 16:30,2006/1/16 6:30,37°11′N,142°03′E,37.18,142.05,142.05,1,12.6,25,12.2,,,54,51,19,8,,,,,,,,,,66,28,20,,,,132,246,3001,2281,1316,14,6.51,3391.2,10.05,91.2,135.6,,,,,,,,,,,,,,,,,,,,,,,,
65源栄丸,,,,2006/1/15 17:00,2006/1/16 5:00,37°06′N,141°42′E,37.1,141.7,141.7,1,12.5,24,11.8,,,11,17,6,1,,,,,,,,,,15,5,5,,,,35,60,708,615,1151,12,2.13,800,2.78,25.6,33.3,,,,,,,,,,,,,,,,,,,,,,,,
11源栄丸,,,,2006/1/15 17:00,2006/1/16 5:00,37°14′N,141°51′E,37.23,141.85,141.85,1,12.6,21,11.5,,7,49,26,4,2,,,,,,,,,,41,24,12,,,,88,165,1898,1309,1450,12,5.19,2144.1,8.51,62.3,102.1,,,,,,,,,,,,,,,,,,,,,,,,
71源栄丸,,,,2006/1/15 17:00,2006/1/16 5:00,36°58′N,141°53′E,36.97,141.88,141.88,1,12.2,24,12,,,65,38,35,3,1,,,,,,,,,69,31,24,,,,142,266,3192,2451,1302,12,8.51,3606.8,12.52,102.1,150.3,,,,,,,,,,,,,,,,,,,,,,,,
15千鳥丸,,,,2006/1/15 17:50,2006/1/16 5:50,38°17′N,142°14′E,38.28,142.23,142.23,1,12.5,25,11.5,,,138,132,17,11,,,,,,,,,,139,71,29,,,,298,537,6176,4869,1268,12,16.23,6978,22.33,194.8,279.1,,,,,,,,,,,,,,,,,,,,,,,,
67源栄丸,,,,2006/1/15 20:15,2006/1/16 5:15,38°18′N,142°20′E,38.3,142.33,142.33,1,12.5,20,12,,3,74,38,7,3,,,,,,,,,,56,26,23,,,,125,230,2760,1915,1441,9,10.64,3118.6,16.41,95.8,155.9,,,,,,,,,,,,,,,,,,,,,,,,
